code,title,units,prereqs,offered,corrupt,prereqs_parsed
ART 98,Directed Group Study,1 - 3 Units, Open to freshmen and sophomores. Open to freshmen and sophomores,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
This is a student-initiated course to be offered for academic credit. The subject matter will vary from semester to semester and will be taught by the student facilitator under the supervision of the faculty sponsor. Topics to be related to art practice.",0,
ART 99,Supervised Independent Study,1 - 2 Units,,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
This course will be a rubric for all one and two credit Independent Study courses in Art Practice that concentrate on the practical aspects of art production. Some students will study gallery work by participating in every phase of producing art exhibitions--from selecting works to hanging and insuring them. Other students will learn concepts, skills and information they can use in their major courses. All students gaining credit from these",0,
ART 100,Collaborative Innovation,4 Units,,"Terms offered: Fall 2017, Spring 2017, Spring 2016<br/>
In this hands-on, project-based class, students will experience group creativity and team-based design by using techniques from across the disciplines of business, theatre, design, and art practice. They will leverage problem framing and solving techniques derived from critical thinking, systems thinking, and creative problem solving (popularly known today as design thinking). The course is grounded in a brief weekly lecture that sets out the",0,
ART 102,Approaches to Painting,4 Units," 8, 12, and 13 or equivalents","Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
Inquiry into concepts of order, process, and content as related to human experience. While faculty contact with students is highly individualized, the course involves group critiques and lectures as well as assigned field trips. Lectures and demonstrations introduce students to techniques and varied applications.",0,ART8&ART12&ART13
ART 103,Advanced Painting,4 Units,,"Terms offered: Spring 2018<br/>
This is an advanced studio and lecture class for art majors, to advance their practice through practical research into the varied processes and methods of contemporary painting. Students will expand their skills and develop a dedicated practice through self generated projects and critical engagement. In-class critiques and open discussion will reinforce and challenge the students as a vital part of their technical, conceptual, and professional development. Lectures",0,
ART 117,"Research, Methods and Materials of Drawing",4 Units," 8 and 12; and one from 13, 14, 16, 23 or equivalents","Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Advanced drawing and composition, color and black-and-white, primarily on paper. 117 or 118 is required of all art majors. Lectures and demonstrations introduce students to techniques and varied applications.",0,ART8&ART12&(ART13|ART14|ART16|ART23)
ART 118,Contemporary Perspectives of Figure Drawing,4 Units," Art 8 and 12; and one from Art 13, 14, 16 and 23 or equivalents","Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Spring 2017<br/>
Emphasis on the human figure seen in the context of pictorial space, dark and light and color. Various media. 118 or 117 is required of all art majors. Lectures and demonstrations introduce students to techniques and varied applications.",0,ART8&ART12&(ART13|ART14|ART16|ART23)
ART 119,Global Perspectives in Contemporary Art,4 Units, for declared Art Practice majors,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
This course is designed to explore a range of contemporary art movements around the globe, through a closer look at their central ideas, artists, and artworks, as well as the preconditions and broader social context in which the work is being produced. Topics covered will range from the emergence of localized avant-garde movements in Europe, Asia, Africa, and Latin America to the implicit globalism",0,
ART 120,Approaches to Printmaking: Intaglio,4 Units," 8, 12, and 16, or equivalents","Terms offered: Spring 2018, Spring 2016, Fall 2015<br/>
An opportunity to discover what an artist can do with an etching press and a familiarity with such processes as etching, drypoint, aquatint, color, and monotype printing. The difference in the ways that these mediums enhance and condition your ideas will be made clear through individual and group critiques. Lectures and demonstrations introduce students to techniques and varied applications.",0,ART8&ART12&ART16
ART 123,The Language of Printmaking-Screenprinting,4 Units, Open to upper division art majors or by consent of instructor,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
The process of screenprinting images onto paper and other surfaces will be explored in a variety of image producing techniques. Hand drawn, photographic, and digitally manipulated images are combined to produce multiple works of limited edition fine art prints. Image content and development is examined through drawings, studies, slide lectures, group critiques, and direct assistance. Each student is required to attend all class periods and",0,
ART 130,Approaches to Sculpture: Concept and Construction,4 Units," 8, 12, and 14, or equivalents","Terms offered: Spring 2016, Spring 2014, Spring 2013<br/>
Course is geared toward constructing objects, forms, and particular structures to reveal concept. This class will have more advanced instruction in fabrications, emphasizing the use of wood and metal shops. Architectural considerations, physical experience of space, and innovative sculptural practices will be explored. Lectures and demonstrations introduce students to techniques and varied applications.",0,ART8&ART12&ART14
ART 132,Approaches to Sculpture: Ceramics,4 Units," 8, 12, and 14, or equivalents","Terms offered: Fall 2016, Spring 2016, Fall 2015<br/>
An opportunity to learn the many ways of shaping and giving form to wet clay, then making it permanent by firing it. Illustrated talks will examine the ideas that have engaged ceramic sculptors in many traditions and the processes that they have used to expand them. Lectures and demonstrations introduce students to techniques and varied applications.",0,ART8&ART12&ART14
ART 133,Approaches to Sculpture: Meaning in Material,4 Units," 8, 12, and 14, or equivalents","Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This class will investigate the possibilities and potentials of sculptural material, both physically and conceptually. We will focus on a deeper exploration of the current state of art practice while questioning what methods and materials are considered non-traditional. We will discuss multiple applications as a means of mediating ideas in space, including sculpture, installation, video, photography and public exchanges. This class will have more",0,ART8&ART12&ART14
ART 137,Advanced Projects in Ceramic Sculpture,4 Units," 8, 12, and 14, or equivalents","Terms offered: Spring 2018, Spring 2017, Spring 2014<br/>
Students who are experienced in clay may enroll in this course to continue developing their ideas and their technical command of ceramic materials and processes. Lectures and demonstrations introduce students to techniques and varied applications.",0,ART8&ART12&ART14
ART 138,Approaches to Sculpture: Installations,4 Units," 8, 12, 14, or equivalents","Terms offered: Spring 2018, Spring 2017, Spring 2015<br/>
In this class we will consider sculptural issues of (and beyond) the object itself, notions of ""site specific,"" and of whether an object is distinct from its environment or is part of it. We will also question issues of space, placement, installation, context, and public interaction. Students will engage with a variety of sites, both on and off campus, with drawings and written proposals being an intergral part of all projects.",0,ART8&ART12&ART14
ART 141,Temporal Structures: Video and Performance Art,4 Units," 8, and 12; and one from 13, 14, 16, 23, or equivalents","Terms offered: Spring 2018, Spring 2017, Spring 2015<br/>
Projects are aimed at understanding and inventing ways in which time and change can become key elements in an artwork. Regular screenings of professional tapes will illustrate uses of the mediums and provide a historical context. Lectures and demonstrations introduce students to techniques and varied applications.",0,ART8&ART12&(ART13|ART14|ART16|ART23)
ART 160,Special Topics in Visual Studies,4 Units, Consent of instructor,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
Topics of concern to the instructor, usually related to current research, which may fall outside of the normal curriculum or be of more restricted content than regular studio courses. An opportunity to investigate topics and mediums on an ad hoc basis when there is a compelling reason to do so, providing there is no other course that deals with these concerns. Primarily intended for advanced undergraduates",0,
ART 163,Social Practice: Critical Site and Context,4 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Social Practice broadly refers to work produced through various forms of direct engagement with a site, social system or collaborator. Interdisciplinary in nature, such work often takes the form of guerilla interventions, performance, institutional critique, community based public art and political activity, all sharing the premise that art created in the public sphere can help alter public perception and work toward social transformation.",0,
ART N163,Social Practice: Critical Site and Context--ESCUELA de ARTE UTIL,6 Units,,"Terms offered: Summer 2017 8 Week Session<br/>
Social Practice broadly refers to work produced through various forms of direct engagement with a site, social system or collaborator.<br/>
Arte Útil, which translates into English as “useful art,” will consider the practice of Arte Útil as institutional self-criticism, active hyperrealism, a-legality,reforming capital,sustainability, and modes of creative collaboration.<br/>
Enrollment in the class requires familiarization with the Arte Útil archive",0,
ART 165,"Art, Medicine, and Disabilities",4 Units,,"Terms offered: Spring 2016, Spring 2015, Spring 2014<br/>
This course will examine how visual artists have responded to illness and disability. We will consider visual representations of disability and healing, as well as the expressive work of visual artists working from within the personal experience of disability; in other words, we will look at disability as both a subject and a source of artistic creation. Several topics, historical and contemporary, will be explored. Students will complete",0,
ART 171,Digital Video: The Architecture of Time,4 Units," 8, 12, and 23; or equivalents","Terms offered: Summer 2018 Second 6 Week Session, Fall 2016, Fall 2015<br/>
This hands-on studio course is designed to present students with a foundation-level introduction to the skills, theories and concepts used in digital video production. Non-linear and non-destructive editing methods used in digital video are defining new ""architectures of time"" for cinematic creation and experience, and offer new and innovative possibilities for authoring new forms of the moving image. This course",0,ART8&ART12&ART23
ART 173,ELECTRO-CRAFTING,4 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
This studio class aims to provide students with the digital tools for expanding and augmenting their work in traditional media such as photography and sculpture, and also to encourage the exploration of new hybrid forms of art-making. If you are interested in exploring sound, sensors, immersive experience, interactivity, bots, wearable computing, gamification, AI, feedback systems, process-oriented artwork or data-driven artworks in any media--then",0,
ART 174,Advanced Digital Video,4 Units," 8, 12, and 23; or equivalents","Terms offered: Spring 2018, Spring 2014, Spring 2013<br/>
This advanced studio course is designed for students who have mastered basic skills and concepts involved in digital video production, and are interested in further investigating critical, theoretical, and creative research topics in digital video production. Each week will include relevant readings, class discussions, guest speakers, demonstrat ion of examples, and studio time for training and working on student assignments .",0,ART8&ART12&ART23
ART 178,Game Design Methods,4 Units, 23AC,"Terms offered: Fall 2017, Spring 2016, Spring 2015<br/>
This course offers an introduction to game design and game studies. Game studies has five core elements: the study of games as transmitters of culture, the study of play and interactivity, the study of games as symbolic systems; the study of games as artifacts; and methods for creating games. We will study these core elements through play, play tests, play analysis, and comparative studies. Our reading list includes classic game studies theory",0,ART23AC
ART 180,Advanced Digital Photography,4 Units, ,"Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Fall 2017<br/>
This course will cover a range of digital media and practices, with a view towards exploring current and future possibilities for photography. Inclusive of multiple approaches to scale, execution, and technique, the course enables students to examine and push the limits of photographic practices. This course will help students advance their digital shooting and Photoshop skills from a beginning to a more advanced level",1,
ART 184,Junior Seminar: Meaning and Making,4 Units," Junior level students, with the permission of the instructor","Terms offered: Fall 2016, Spring 2016, Fall 2015<br/>
This immersive studio/seminar class focuses on contemporary models of art making, exposing students to current issues in the art world, and fostering interdisciplinary models of thinking and making. Through field trips to museums, galleries, and alternative art spaces, as well as studio visits with local contemporary artists, students will be able to situate their own projects within the larger sphere of contemporary art. Language and writing",0,
ART 185,Senior Projects/Professional Practices,4 Units, Senior level students only,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
This course provides students with a foundation for understanding their work within a cross-disciplinary critical context. Through class and individual critique, readings, guest artists, and field trips, students will explore the practical and conceptual components of their own media and practice within a broader discussion of artistic production. In addition to this focused attention on the critique process, the class with address the ongoing",0,
ART H195A,Special Study for Honors Candidates in the Practice of Art,4 Units, Senior standing with 3.3 GPA and consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Honors students are required to take three units of H195A. They may elect to take an additional three units (H195B) the following semester.",0,
ART H195B,Special Study for Honors Candidates in the Practice of Art,4 Units, Senior standing with 3.3 GPA and consent of the instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Honors students are required to take three units of H195A. They may elect to take an additional three units (H195B) the following semester.",0,
ART 196,Bridging the Arts Seminar,1 - 4 Units, Consent of instructor. Dancers are encouraged to have taken Theater 166 with Lisa Wymore. All Bridging the Arts participants are required to pass a background check with the DOJ and the FBI,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Bridging the Arts is open to artists from a variety of disciplines including dance, spoken word, theater, performance, creative writing, social practice, music, and visual arts. Through readings, written reflection, guest speakers, group discussion, and teaching in the field, Bridging the Arts (BtheArts) Student Instructors explore the arts in the public education system. Student Instructors develop and implement arts curricula that is both",0,
ART 198,Directed Group Study,1 - 3 Units, Upper division standing,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This is a student-initiated course to be offered for academic credit. The subject matter will vary from semester to semester and will be taught by the student facilitator under the supervision of the faculty sponsor. Topics to be related to art practice.",0,
ART 199,Supervised Independent Study for Advanced Undergraduates,1 - 4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>",0,
ART 218,Seminar: Theory and Criticism,4 Units, Graduate standing and consent of instructor,"Terms offered: Fall 2016, Fall 2015, Spring 2015<br/>
Weekly meetings will provide a forum for the discussion of issues related to assigned readings in the fields of esthetics, theory and art criticism.",0,
ART 290,Independent Study,4 Units, Graduate standing and consent of instructor,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
Individual projects by first-year graduate students with one assigned instructor.",0,
ART 294,Seminar for M.F.A. Students,4 Units, Admission to the M.F.A. program,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
Studio work emphasizing various aspects of form. Group criticism. Intended especially for M.F.A. candidates.",0,
ART 295,Independent Study for M.F.A. Students,4 - 12 Units, Admission to the M.F.A. program,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
M.F.A. candidates, special study--M.F.A. Committee members as well as other faculty.",0,
ART 298,Directed Group Study,4 Units, Graduate standing or consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Directed group study in special problems, group research, and/or interdisciplinary topics.",0,
ART 299,Supervised Independent Study for Graduate Students,1 - 4 Units," Graduate standing and consent of instructor, graduate adviser, and Department Chair","Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
Special projects by graduate students undertaken with a specific member of the faculty.",0,
ART 301,The Teaching of Art: Practice,1 Unit, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Utilizing aspects of pedagogical and andragogical teaching, the interactive lecture, collaborative learning, simulations, and brainstorming-freewriting, this semester-long seminar will focus on these various intergrative teaching approaches, to facilitate communication in the diverse and wide-ranging arena which is fine arts today. Discussion of course aims, instructional methods, grading standards, and special problems in the teaching of art",0,
