code,title,units,prereqs,offered,corrupt,prereqs_parsed
CHINESE 100A,Advanced Chinese,5 Units, Chinese 10 or Chinese 10B,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The course takes students to a higher level of competence in Chinese language and culture and develops students’ critical linguistic and cultural awareness. It surveys social issues and values on more abstract topics in a changing China. Through the development of discourse and cultural knowledge in spoken and written Chinese, students learn to interpret subtle textual meanings in texts and",0,CHINESE10|CHINESE10B
CHINESE 100B,Advanced Chinese,5 Units, Chinese 100A,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The course continues the development of critical awareness by emphasizing the link between socio-cultural literacy and a higher level of language competence. While continuing to expand their critical literacy skills, students interpret texts related to Chinese popular culture, social change, cultural traditions, politics and history. Through linguistic and cultural comparisons, students",0,CHINESE100A
CHINESE 100XA,Advanced Chinese for Mandarin Speakers,4 Units, Chinese 10X; or consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course advances students’ linguistic and cultural competence through the development of critical literacy skills. It guides students to become more sophisticated language users equipped with linguistic, pragmatic, and textual knowledge in discussions, reading, writing, and translation. Students reflect on the world and themselves through the lens of the target language and culture and",0,CHINESE10X
CHINESE 100XB,Advanced Chinese for Mandarin Speakers,4 Units, Chinese 100XA; or consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The course continues to develop students’ critical literacy skills in interpreting texts and writing in different genres and styles. It engages students to use their linguistic knowledge and skills to survey portions of Chinese history and society and comprehend Chinese cultural heritage in contemporary and historic economic, social, and political contexts. Students are guided to explore",0,CHINESE100XA
CHINESE 100YA,Advanced Chinese for Dialect Speakers,5 Units, Chinese 10Y; or consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course helps Chinese heritage language learners with a dialect background to further develop their Chinese language competence. More sophisticated linguistic forms are used with various socio-cultural topics. Close reading knowledge and skills, formal and informal registers, discourses in speaking and writing, and different genres of Chinese reading and writing are introduced and practiced.",0,CHINESE10Y
CHINESE 100YB,Advanced Chinese for Dialect Speakers,5 Units, Chinese 100YA; or consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course is for students who have taken Chinese 100YA or an equivalent course. It further develops their Chinese language competence. It guides students to investigate, explain, and reflect on the nature of language used in the texts and on the cultural perspective embedded in the language. Close reading knowledge and skills, formal and informal registers, discourses in speaking and",0,CHINESE100YA
CHINESE 101,Fourth-Year Chinese Readings: Literature,4 Units, Chinese 100B or Chinese 100XB; or consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The course is designed to assist students to reach the advanced-mid level on language skills and to enhance their intercultural competence. Students read the works of famous Chinese writers. Movie adaptations of these writings are also used. In addition to reading and seeking out information, students experience readings by interpreting and constructing meanings and evaluate the effect",0,CHINESE100B|CHINESE100XB
CHINESE 102,Fourth-Year Chinese Readings: Social Sciences and History,4 Units, Chinese 100B or Chinese 100XB; or consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The course is designed to further develop students’ advanced-mid level language proficiency and intercultural competence. It uses authentic readings on Chinese social, political, and journalistic issues, supplemented by newspaper articles. To develop students’ self-learning abilities and help them to link the target language to their real world experience, students’ agency in learning is promoted",0,CHINESE100B|CHINESE100XB
CHINESE 105,Business Chinese,6 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2014 10 Week Session<br/>
Daily topics of instruction include media Chinese, reading business Chinese, and oral training. This course covers intensive instruction in third-year Chinese with an emphasis on business terminology and introduction to cultural knowledge specific to conducting business in the Chinese environment. Two afternoons per week are",0,
CHINESE 110A,Introduction to Literary Chinese,4 Units," Chinese 10, 10B, 10X, or 10Y is recommended but not required","Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The first half of a one-year introductory course in literary Chinese, introducing key features of grammar, syntax, and usage, along with the intensive study of a set of readings in the language. Readings are drawn from a variety of pre-Han and Han-Dynasty sources.",0,CHINESE10|CHINESE10B|CHINESE10X|CHINESE10Y
CHINESE 110B,Introduction to Literary Chinese,4 Units, Chinese 110A,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The second half of a one-year introductory course in literary Chinese, continuing the topics from the first semester, and giving basic coverage of relevant issues in the history of the language and writing system. The use of basic reference sources is introduced.",0,CHINESE110A
CHINESE 111,Fifth-Year Readings: Reading and Analysis of Advanced Chinese Texts,4 Units, Chinese 101 or Chinese 102; and consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This fast-paced course improves students’ abilities to use advanced language forms to read and discuss a wide range of abstract subjects and issues. This includes literature, philosophy, law, economics, history, cross-Strait relations, geography, and movie criticism. The course also develops students’ ability to read articles that contain both formal and informal and modern and classic Chinese",0,CHINESE101|CHINESE102
CHINESE 112,Fifth-Year Readings: Chinese for Research and Professional Use,4 Units, Chinese 101 and Chinese 102; or consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
This fast-paced course is designed to help the student reach an advanced-high competence level in all aspects of modern Chinese. It prepares students for research or employment in a variety of China-related fields. Materials are drawn from native-speaker target publications, including modern Chinese literature, film, intellectual history, and readings on contemporary issues. Texts are",0,CHINESE101&CHINESE102
CHINESE C116,Buddhism in China,4 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Spring 2015<br/>
This course is an introduction to the history of Buddhism in China from its beginnings in the early centuries CE to the present day. Through engagement with historical scholarship, primary sources in translation, and Chinese Buddhist art, we will explore the intellectual history and cultural impact of Buddhism in China. Students will also be introduced to major issues in the institutional history",0,
CHINESE 122,Ancient Chinese Poetry,4 Units, Chinese 110A,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2016, Spring 2014, Fall 2007<br/>
Readings from the Shijing (book of Odes), the Chuci (song of Chu), and selections from other early compilations of poetry.",0,CHINESE110A
CHINESE 130,Topics in Daoism,4 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2016, Spring 2015, Spring 2013<br/>
Readings in printed and manuscript sources that relate to early Chinese popular religion, the Celestial Masters tradition, medieval Daoist revelations (e.g., Shangqing and Lingbao texts), Daoism and the state, interactions with other traditions, liturgy, alchemy, drama, and modern Daoist practices in China and the diaspora.",0,
CHINESE 134,Readings in Classical Chinese Poetry,4 Units, Chinese 110B; or consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Summer 2016 10 Week Session, Summer 2016 Second 6 Week Session, Fall 2014<br/>
Introduction to the forms and subtypes of classical poetry, focusing on both learning to read poems in the original as well as developing the critical and analytical tools to discuss and respond to them in an informed way.",0,CHINESE110B
CHINESE 136,Readings in Medieval Prose,4 Units, Chinese 110B; or consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017, Fall 2013, Spring 2013<br/>
Thematic focus and range of readings will vary. The course will deal with readings from one or more genres of classical Chinese prose, such as essays, epigraphical materials, historical works, classical tales, administrative documents, scholars' notes, geographical treatises, or travel diaries.",0,CHINESE110B
CHINESE C140,Readings in Chinese Buddhist Texts,4 Units," Chinese 110A; or one semester of classical Chinese. Prior background in Buddhist history and thought is helpful, but not required","Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2016, Spring 2014, Fall 2009<br/>
This course is an introduction to the study of medieval Buddhist literature written in classical Chinese. We will read samples from a variety of genres, including early Chinese translations of Sanskrit and Central Asian Buddhist scriptures, indigenous Chinese commentaries, philosophical treatises, and sectarian works, including Chan (Zen koans). The course will also serve as an introduction",0,CHINESE110A
CHINESE 153,Reading Taiwan,4 Units, Chinese 100A or Chinese 100XA (may be taken concurrently),"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2016, Fall 2014, Spring 2013<br/>
This course is an intensive introduction to Taiwanese literature and media culture.",0,CHINESE100A|CHINESE100XA
CHINESE 155,Readings in Vernacular Chinese Literature,4 Units, Chinese 100A or Chinese 100XA (may be taken concurrently); or consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
A critical study of pre-modern Chinese fiction.",0,CHINESE100A|CHINESE100XA
CHINESE 156,Modern Chinese Literature,4 Units, Chinese 100A or Chinese 100XA (may be taken concurrently),"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2016, Spring 2012, Spring 2010<br/>
This course will introduce students to selected works of modern Chinese literature produced in the first half of the 20th century, as well as their cultural and historical context. How did writers such as Lu Xun, Shen Congwen, Eileen Chang, and others attempt to make themselves ""at home"" in a world profoundly dislocated by the forces of colonialism, war, and revolution? We will",0,CHINESE100A|CHINESE100XA
CHINESE 157,Contemporary Chinese Literature,4 Units, Chinese 100A or Chinese 100XA (may be taken concurrently),"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Fall 2014, Spring 2008<br/>
This course explores popular, realist, and avant-garde literature from mainland China and Taiwan since 1949. We will consider how writers have engaged with the cultural dislocations of modernity by exploring questions such as the presentation of cultural and gender identities and the politics of memory and place. Central to our discussion will be the problem of how literature not only",0,CHINESE100A|CHINESE100XA
CHINESE 158,Reading Chinese Cities,4 Units, Chinese 100A or Chinese 100XA (may be taken concurrently),"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017, Fall 2015, Spring 2014<br/>
Chinese cities are the sites of complicated global/local interconnections as the nation is increasingly incorporated into the world system. Understanding Chinese cities is the key to analyzing the dramatic transformation of Chinese society and culture. This course is designed to teach students to think about Chinese cities in more textured ways. How are urban forms and urban spaces produced",0,CHINESE100A|CHINESE100XA
CHINESE 172,Contemporary Chinese Language Cinema,4 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course introduces Chinese language cinema since the late 1970s. Depending on the semester, the class will either focus on the distinct new waves in the three regions of Mainland, Taiwan, or Hong Kong, or cover all three regions to examine to what extent these “New Cinemas” share similar concerns on questions of gender, politics, remembrance, and urbanization.",0,
CHINESE 178,Traditional Chinese Drama,4 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017, Fall 2015<br/>
This course introduces the history of traditional Chinese drama from the thirteenth to seventeenth centuries, covering important works from a wide range of genres (farcical, religious, detective, martial arts, historical, and romantic). We study Chinese theater in the context of pleasure precincts, ad hoc markets, ritual parades, and printed matter. The underlying questions we ask are: how did different",0,
CHINESE 179,Exploring Premodern Chinese Novels,4 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2016, Fall 2013<br/>
Vernacular fiction in late imperial China emerged at the margins of official historiography, traveled through oral storytelling, and reached sophistication in the hands of literati. Covering the major genres and masterpieces of traditional Chinese novels including military, martial arts, libertine, and romantic stories, this course investigates how shifting boundaries brought about significant transformations",0,
CHINESE 186,Confucius and His Interpreters,4 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Fall 2016, Fall 2014<br/>
This course examines the development of Confucianism in pre-modern China using a dialogical model that emphasizes its interactions with competing viewpoints. Particular attention will be paid to ritual, conceptions of human nature, ethics, and to the way that varieties of Confucianism were rooted in more general theories of value.",0,
CHINESE 188,Popular Media in Modern China,4 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017, Fall 2011, Spring 2011<br/>
This course is an introduction to media culture in 20th-century China, with an emphasis on photography, cinema, and popular music. The course places these productions in historical and cultural context, examining the complex intertwinement of culture, technology, and politics in China, Hong Kong, and Taiwan from the turn of the last century to the beginning of the 21st. Students will also",0,
CHINESE H195A,Honors Course,2 - 5 Units," Senior honors standing in East Asian Languages, 3.5 GPA in major, 3.3 overall","Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2016, Fall 2015, Fall 2014<br/>
Directed independent study and preparation of senior honors thesis. Limited to senior honors candidates in East Asian Languages (for description of Honors Program, see Index).",0,???
CHINESE H195B,Honors Course,2 - 5 Units," Senior honors standing in East Asian Languages, 3.5 major GPA, 3.3 overall","Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Fall 2015, Fall 2014<br/>
Directed independent study and preparation of senior honors thesis. Limited to senior honors candidates in East Asian Languages (for description of Honors Program, see Index).",0,???
CHINESE 221,Reading the Zhuangzi,2 or 4 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2017, Spring 2014<br/>
This course sets out to examine a set of “focus chapters” from the Zhuangzi along several dimensions: 1) in the context of Warring States thought, 2) as independent stories that need to be puzzled through and read critically, and 3) tracing the influence of those chapters on subsequent periods of Chinese thought.",0,
CHINESE 222,Early Chinese Thought,2 or 4 Units, At least one year of Classical Chinese,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017, Fall 2016, Spring 2015<br/>
An analytical exploration of the central texts of Warring States (453-221 BCE) religion and philosophy.",0,
CHINESE C223,Readings in Chinese Buddhist Texts,2 or 4 Units, Consent of instructor,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This seminar is an intensive introduction to various genres of Buddhist literature in classical Chinese, including translations of Sanskrit and Central Asian scriptures. Chinese commentaries, philosophical treatises, hagiographies, and sectarian works. It is intended for graduate students who already have some facility in classical Chinese. It will also serve as a tools and methods course",0,
CHINESE 234,Texts on the Civilization of Medieval China,2 or 4 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Fall 2016, Spring 2016<br/>
Course content varies with interests of students.",0,
CHINESE 254,Chinese Literatures and Cultures in Global Context,2 or 4 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017, Fall 2008, Spring 2007<br/>
This course explores relations of Chinese literature and culture to other parts of Asia, Africa, Latin America, or the West, ranging from specific global transactions to comparative perspectives, and ranging widely across different historical periods. Specific topics vary from year to year.",0,
CHINESE 255,Late Imperial Fiction and Drama,2 or 4 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course examines the canonical texts of the late-imperial period, placing them in the context of literary culture of the Ming-Qing. The course focuses on a different set of texts each time it is taught; the aim is to introduce students to the primary issues in scholarship of late-imperial fiction and drama over a period of several years.",0,
CHINESE 280,Modern Chinese Cultural Studies,2 or 4 Units, Reading knowledge of modern Chinese,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2016, Fall 2014, Spring 2014<br/>
Directed study of modern Chinese literary and media cultures. Course provides both historical coverage and a grounding in various theoretical problems and methodological approaches. Topics include print culture, cinema, popular music, and material culture; emphasis varies from year to year.",0,
CHINESE 282,Modern Chinese Film Studies,2 or 4 Units, Reading knowledge of modern Chinese,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Fall 2017<br/>
Directed study of modern Chinese film. Emphasis varies from year to year.",0,
CHINESE 298,Directed Study for Graduate Students,1 - 8 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Special tutorial or seminar on selected topics not covered by available courses or seminars.",0,
CHINESE 299,Thesis Preparation and Related Research,1 - 8 Units, Consent of thesis supervisor and graduate adviser,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>",0,
CHINESE 601,Individual Study for Master's Students,1 - 8 Units, Consent of graduate adviser,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Individual study for the comprehensive or language requirements in consultation with the graduate adviser. Units may not be used to meet either unit or residence requirements for a master's degree.",0,
CHINESE 602,Individual Study for Doctoral Students,1 - 8 Units,,"Offered through: East Asian Languages and Cultures<br/>
Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Individual study in consultation with the major field adviser, intended to provide an opportunity for qualified students to prepare for various examinations required of candidates for the Ph.D.",0,
