code,title,units,prereqs,offered,corrupt,prereqs_parsed
ARCH 102B,Architecture Capstone Project,5 Units, Architecture 102A,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Through individual and collective efforts, students will address topics selected in the previous semester under the guidance of faculty mentors. Topics in the field which may serve as a basis for capstone projects include: the history and theory of architecture; structures; the materials and methods of construction; building performance; energy and the environment; and social factors and human behavior. This course is aimed at students who",0,ARCH102A
ARCH 108,Architectural Internship,5 Units, 100B or consent of instructor,"Terms offered: Summer 2016 10 Week Session, Summer 2015 10 Week Session, Summer 2014 10 Week Session<br/>
An intensive and structured exposure to the professional practice, using the resources of practicing architects' offices as the ""laboratory."" The seminar discussion focus on understanding how design happens, how projects are managed and how buildings are constructed.",0,ARCH100B
ARCH 109,Special Topics in Architectural Design,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
Selected topics in the theories and conceopts of architectural design. For current offerings, see department website.",0,
ARCH 110AC,The Social and Cultural Processes in Architecture & Urban Design,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Architecture 110AC focuses on the significance of the physical environment in human life as citizens and as future design professionals. This course is an introduction to the field of human-environment studies. Its objectives include:<br/>
1. Working knowledge of the concepts in person-environment relations,<br/>
2. Understanding how these concepts vary by subculture, primarily Anglo-, Hispanic-, and Chinese-American,*<br/>
3. Learning to use the",0,
ARCH 124A,3-D Computer Technology,2 Units,,"Terms offered: Summer 2018 8 Week Session, Summer 2017 8 Week Session, Summer 2016 8 Week Session<br/>
The course provides students with practical hands-on experience in using professional architectural modeling software (e.g., 3DStudioMax, Maya, Rhino, etc.). The course covers the process of creating, manipulating, and communicating through digital architectural models.",0,
ARCH 124B,3-D Computer Technology,2 Units,,"Terms offered: Summer 2018 8 Week Session, Summer 2017 8 Week Session, Summer 2016 8 Week Session<br/>
The course provides students with practical hands-on experience in using professional architectural modeling software (e.g., 3DStudioMax, Maya, Rhino, etc.). The course covers the process of creating, manipulating, and communicating through digital architectural models.",0,
ARCH 129,Special Topics in Digital Design Theories and Methods,1 - 4 Units, Consent of instructor,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Summer 2017 8 Week Session<br/>
Topics cover advanced and research-related issues in digital design and New Media, related to architecture. For current offerings, see department website.",0,
ARCH 130,Introduction to Architectural Design Theory and Criticism,4 Units, Open to upper division undergraduates,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This class introduces students to the history and practice of design theory from the late 19th century to the present, with emphasis on developments of the last four decades. Readings and lectures explore specific constellations of theory and practice in relation to changing social and historical conditions. The course follows the rise of modernist design thinking, with particular emphasis on the growing influence of technical rationality across",0,
ARCH 139,Special Topics in Architectural Design Theory and Criticism,1 - 4 Units, Consent of instructor,"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
Topics cover contemporary and historical issues in architectural design theory and criticism. For current offerings, see department website.",0,
ARCH 140,Energy and Environment,4 Units," Physics or equivalent, or consent of instructor","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course provides undergraduates and graduates with an introduction to issues of physical building performance including building thermodynamics, daylighting, and solar control. The course presents the fundamentals of building science while recongnizing the evolving nature of building technologies, energy efficiency, ecology, and responsible design. The course begins with a detailed explication of the thermal properties of materials, heat",0,
ARCH 142,Sustainability Colloquium,1 or 2 Units,,"Terms offered: Fall 2017, Fall 2016<br/>
Presentations on a variety of topics related to sustainability, offering perspectives from leading practioners: architectural designers, city planners, consultants, engineers, and researchers. Students can enroll for one unit (required attendance plus reading) or two units (with additional writing assignments.",0,
ARCH 144,Introduction to Acoustics,1 Unit,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course focuses on what architects need to know about acoustics. The first part deals with the fundamentals of acoustics including how sound levels are described and measured, and human response to sound. The course then covers building acoustics, mechanical equipment noise and vibration control, office acoustics, design of sound amplification systems, and environmental acoustics.",0,
ARCH 149,Special Topics in Energy and Environment,1 - 4 Units, 140 and consent of instructor,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Special topics include climatic design, heating, ventilating, air-conditioning systems, lighting, and acoustics. For current offerings, see department website.",0,ARCH140
ARCH 150,Introduction to Structures,4 Units, Physics 8A,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Study of forces, materials, and structural significance in the design of buildings. Emphasis on understanding the structural behavior of real building systems.",0,PHYSICS8A
ARCH 154,Design and Computer Analysis of Structure,3 Units,150,"Terms offered: Spring 2018, Spring 2017, Spring 2015<br/>
Design and analysis of whole structural building systems with the aid of finite element analytical methods. Advanced structural concepts explored in a laboratory environment.",0,
ARCH 159,Special Topics in Building Structures,1 - 4 Units, 150 and consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Special topics such as experimental structures and architural preservation. For current offerings, see department website.",0,ARCH159
ARCH 160,Introduction to Construction,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This introduction to the materials and processes of construction takes architecture from design to realization. The course will cover four material groups commonly used in two areas of the building assembly (structure and envelope): wood, concrete, steel, and glass. You will understand choices available and how materials are conventionally used. By observing construction, you'll see how our decisions affect the size of materials, connections",0,
ARCH 169,Special Topics in Construction Materials,1 - 4 Units, 160 and consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
For current offerings, see department website.",0,ARCH160
ARCH 170A,An Historical Survey of Architecture and Urbanism,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The first part of this sequence studies the ancient and medieval periods; the second part studies the period since 1400; the aim is to look at architecture and urbanism in their social and historical context.",0,
ARCH 170B,An Historical Survey of Architecture and Urbanism,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The first part of this sequence studies the ancient and medieval periods; the second part studies the period since 1400; the aim is to look at architecture and urbanism in their social and historical context.",0,
ARCH 179,Special Topics in the History of Architecture,1 - 4 Units, 170A-170B and consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Special topics in Architectural History. For current section offerings, see departmental announcement.",0,ARCH170A|ARCH170B
ARCH 198,Special Group Study,1 - 4 Units,,"Terms offered: Spring 2018, Spring 2017, Summer 2016 10 Week Session<br/>
Studies developed to meet needs.",0,
ARCH 198BC,Berkeley Connect,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department",0,
ARCH 199,Supervised Independent Study and Research,1 - 4 Units,,"Terms offered: Summer 2016 Second 6 Week Session, Spring 2016, Fall 2015<br/>
Enrollment is restricted by regulations in the General Catalog. Studies developed to meet individual needs.",0,
ARCH 200A,Introduction to Architecture Studio 1,5 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Introductory course in architectural design and theories for graduate students. Problems emphasize the major format, spatial, material, tectonic, social, technological, and environmental determinants of building form. Studio work is supplemented by lectures, discussions, readings, and field trips.",0,
ARCH 200B,Introduction to Architecture Studio 2,5 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Introductory course in architectural design and theories for graduate students. Problems emphasize the major format, spatial, material, tectonic, social, technological, and environmental determinants of building form. Studio work is supplemented by lectures, discussions, readings, and field trips.",0,
ARCH 200C,Representational Practice in Architectural Design,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course will address three distinct levels of representational practice in architectural design: 1) cultivate an understanding of the foundational discourse and diversity of approaches to architectural representation; 2) develop a fluency in the canonical methods found in architectural practice; 3) encourage the development of a personal relationship to forms of modeling and formats of drawing.",0,
ARCH 201,Architecture & Urbanism Design Studio,5 Units, 100A-100B or 200A-200B,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The design of buildings or communities of advanced complexity. Each section deals with a specific topic such as housing, public and institutional buildings, and local or international community development. Studio work is supplemented by lectures, discussions, readings, and field trips.",0,
ARCH 202,Graduate Option Studio,5 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Focused design and research for graduate students.",0,
ARCH 203,Integrated Design Studio,5 Units, Graduate standing,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The Integrated Design Studio is the penultimate studio where students incorporate their accumulated knowledge into architectural solutions. The students demonstrate the<br/>
integrative thinking that shapes complex architectural design and technical solutions. Students will possess an understanding to classify, compare, summarize, explain and/or interpret information. The students will also become proficient in using specific information to accomplish",0,
ARCH 204A,Thesis Seminar,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Focused design research as the capstone project for graduate students.",0,
ARCH 204B,Thesis Studio,5 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Focused design research as the capstone project for graduate students.",0,
ARCH 205A,"Studio One, Fall",5 Units, Consent of Chair or graduate advisors during fall semester,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The first semester of a one-year, post-professional design studio intended for those students who have a professional architecture degree and wish to explore current design issues in a stimulating, rigorous, and highly experimental studio setting.",0,
ARCH 205B,"Studio One, Spring",5 Units, Consent of chair or graduate advisors,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course is the second semester of a one-year, post-professional studio intended for those students who have a professional architecture degree and wish to explore current design issues in a stimulating, rigorous, and highly experimental studio setting.",0,
ARCH 207A,Architecture Lectures Colloquium,1 Unit,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course accompanies the required introductory design studio in the three-year option of the Master of Architecture program. It is the first in a series of three one-unit colloquia, scheduled consecutively for the first three semesters of the program. Students will attend all Wednesday evening lectures of the College of Environmental Design lecture series. Every third week, they will meet with the instructor for a one-hour discussion.",0,
ARCH 207B,Architecture Research Colloquium,1 Unit, Co-requisite with Architecture 200B,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course accompanies the second semester of the required introductory design studio in the three-year option of the Master of Architecture program. It is the second in a series of three one-unit colloquia, scheduled consecutively for the first three semesters of the program. For a one-hour session each week, faculty in the department of architecture and other departments of the College of Environmental Design will present lectures on their",0,
ARCH 207C,Professional Practice Colloquium,1 Unit,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course accompanies the required comprehensive design studio in the three-year option of the Master of Architecture program. It is the third in a series of three one-unit colloquia, scheduled consecutively for the first three semesters of the program.",0,
ARCH 207D,The Cultures of Practice,3 Units,201,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The nature of architectural practice, how it has evolved and how it is changing in today's world is the theme of the class. The course considers how diverse cultures--both anthropological and professional--contribute to practice, and how the culture of practice evolves. The class has three five-week modules, devoted to the following themes: traditions of practice, research in the culture of the profession, and innovations in practice.",0,
ARCH 209,Special Topics in Architectural Design,1 - 4 Units, Second- or third-year graduate standing,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Topics deal with major problems and current issues in architectural design. For current offerings, see departmental website.",0,
ARCH 211,Theory and Methods in the Social and Cultural Basis of Design,3 - 4 Units, 110 or consent of instructor,"Terms offered: Spring 2017, Spring 2013, Spring 2011<br/>
Explores a variety of theories which explain and document the relationship between humans and the environment they build; outlines the research methods appropriate to each theory.",0,
ARCH 212,"Body-Conscious Design: Shoes, Chairs, Rooms, and Beyond",3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This seminar prepares students to evaluate and design environments from the point of view of how they interact with the human body. Tools and clothing modify that interaction. Semi-fixed features of the near environment, especially furniture, may have greater impact on physical well being and social-psychological comfort than fixed features like walls, openings, and volume. Today, designers can help redefine and legitimize new attitudes toward",0,
ARCH 216,The Sociology of Taste in Environmental Design,3 Units," 110, or consent of instructor","Terms offered: Fall 2016, Fall 2012, Fall 2011<br/>
Taste is at work in the way we display our things as much as in the qualities of things themselves. A performance-oriented model of taste observes that objects fall into two broad categories: pragmatic (that support behavior) and symbolic (that identify a person). People visually organize these two categories of objects using both explicit and subconscious aesthetic rules to produce visually unified displays. Depending on how it is used, how it",0,
ARCH 219,Special Topics in the Social and Cultural Basis of Design,1 - 4 Units, Consent of instructor,"Terms offered: Fall 2017, Spring 2017, Fall 2014<br/>
Topics include the sociology of taste, personal and societal values in design, participatory design, semantic ethnography, environments for special popultions such as the elderly, and building types such as housing, hospitals, schools, offices, and urban parks. For current offerings, see departmental website.",0,
ARCH 229,Special Topics in Digital Design Theories and Methods,1 - 4 Units, 210 or consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Selected topics in digital design theories and methods. For current offerings, see departmental website.",0,
ARCH 230,Advanced Architectural Design Theory and Criticism,3 Units, 130A or consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Seminar in the analysis and discussion of contemporary and historical issues in architectural design theory and criticism.",0,
ARCH 238,The Dialectic of Poetics and Technology,3 Units,,"Terms offered: Spring 2017, Fall 2016, Fall 2014<br/>
This seminar examines the relationship between technology and design philosophy in the work of architects through analysis of individual buildings within the cntext of the complete oeuvre and an examination of the architect's writings and lectures. The seminar poses the following questions: What is the role of technology in the design philosophy of the architect and how is this theoretical position established in the architect's writings, lectures",0,
ARCH 239,Special Topics in Architecture Design Theory and Criticism,1 - 4 Units,,"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
Selected topics in contemporary and historical architectural design theory and criticsm. For current offerings, see departmental website.",0,
ARCH 240,Advanced Study of Energy and Environment,3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Minimizing energy use is a cornerstone of designing and operating sustainable buildings, and attention to energy issues can often lead to greatly improved indoor environmental quality. For designers, using computer-based energy analysis tools are important not only to qualify for sustainability ratings and meet energy codes, but also to develop intuition about what makes buildings perform well. This course will present quantitative and qualitative",0,
ARCH 241,Research Methods in Building Sciences,3 Units,,"Terms offered: Fall 2017, Fall 2015, Fall 2013<br/>
Required for doctoral students in the area of environmental physics.",0,
ARCH 242,Sustainability Colloquium,1 or 2 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 2016<br/>
Presentations on a variety of topics related to sustainability, offering perspectives from leading practitioners: architectural designers, city planners, consultants, engineers, and researchers. Students can enroll for one unit (required attendance plus reading) or two units (with additional assignments.",0,
ARCH 243,Natural Cooling: Sustainable Design for a Warming Planet,3 Units, 140 or consent of instructor,"Terms offered: Fall 2016, Fall 2014, Fall 2013<br/>
Course focuses on zero- and no-energy climate responsive cooling strategies for both residential and commercial scale buildings. The course reviews designs and technologies that include low- and high-tech solutions, dynamic high performance facades, natural ventilation, and a range of other innovative cooling strategies. The course also explores the relationship between building design and operation, energy use, and climate change.",0,
ARCH 245,Daylighting,3 Units, 140 or consent of instructor,"Terms offered: Spring 2017, Spring 2014, Fall 2012<br/>
This seminar introduces theories, technologies, design strategies and analytical methods of architectural daylighting, including issues of visual experience, integration with electrical lighting and energy use. The course provides foundation for intelligent daylighting design by developing frameworks for thinking about design, performance and tools. The work examines two archetypal daylighting conditions: a toplighted (roof-lighted) space and",0,
ARCH 249,Special Topics in the Physical Environment in Buildings,1 - 4 Units,140,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>",0,
ARCH 256,Structural Design in the Studio,1 - 3 Units, 150 or equivalent,"Terms offered: Spring 2016, Fall 2015, Fall 2013<br/>
Teaching structures to architecture students on their own turf: in a design studio. The course is organized around weekly desk reviews and assignments for students enrolled in a 201 design studio or thesis. The reviews and assignments focus on the structural issues of the students' projects. A central goal of the course is to help students understand structural issues as they relate to design and to help them become comfortable with structural",0,
ARCH 259,Special Topics in Building Structures,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Selected topics in building structures such as experimental structures and architectural preservation. For current offerings, see departmental website.",0,
ARCH 260,"Introduction to Construction, Graduate Level",3 Units, Graduate standing or consent of instructor,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course addresses the methods and materials of construction. While students will not be experts at the end of the semester, the course should give students the confidence to feel comfortable on a construction site or when designing a small building for a studio. The course will focus on four major territories: structural materials, building envelope, built elements such as stairs and cabinets, and costs, labor conditions, conventional practices",0,
ARCH 262,Architecture in Detail,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2014<br/>
This seminar will reevaluate the material nature of buildings by studying and understanding construction details and the new technologies that are revolutionizing design construction and labor relations in architecture.",0,
ARCH 264,Off-Site Fabrication: Opportunities and Evils,3 Units," 160, 260 or consent of instructor","Terms offered: Fall 2017, Fall 2010, Fall 2009<br/>
This seminar looks at the implications of off-site fabrication in architecture: consistent, protected environments; worker efficiency and safety; coordination of trades; cheaper, semi-skilled labor; construction periods shortened; and completion dates more predictable. Off-site fabrication can allow for increased refinement and trial assemblies. However, it may also create monotonous sameness when the processes and results are not considered with",0,
ARCH 269,Special Topics in Construction and Materials,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Selected topics in construction and materials. For current offerings, see departmental website.",0,
ARCH 270,History of Modern Architecture,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course examines developments in design, theory, graphic representation, construction technology, and interior programming through case studies of individual buildings. Each lecture will delve deeply into one or sometimes two buildings to examine program, spatial organization, critical building details, and the relationship of the case study building with regard to other parallel works and the architect's overall body of work.",0,
ARCH 279,Special Topics in the History of Architecture,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Selected topics in the history of architecture. For current offerings, see department website.",0,
ARCH 281,Methods of Inquiry in Architectural Research,4 Units, M.S. or Ph.D. standing or consent of instructor,"Terms offered: Fall 2017, Fall 2013, Fall 2012<br/>
This is the introductory course in methods of inquiry in architecture research to be required of all entering Ph.D. students in all areas of the program. The purpose is to train students in predissertation and prethesis research strategies, expose them to variety of inquiry methods including the value of scholarly research, the nature of evidence, critical reading as content analysis and writing, presenting and illustrating scholarship in the various",0,
ARCH 298,Special Group Study,1 - 4 Units,,"Terms offered: Spring 2018, Fall 2016, Spring 2016<br/>
Special group studies on topics to be introduced by instructor or students.",0,
ARCH 375,Seminar in the Teaching of Architecture,2 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This class is intended for first-time graduate student instructors, especially those working in studio and lab settings. The class covers a range of issues that normally come up when teaching, offers suggestions regarding how to work well with other graduate student instructors and faculty, and how to manage a graduate student instructor's role as both student and teacher. The greatest benefit of this class comes from the opportunity to explore",0,
