code,title,units,prereqs,offered,corrupt
ENGLISH 105,Anglo-Saxon England,4 Units,,"Terms offered: Spring 2017, Fall 2013, Fall 2010<br/>
The five centuries of the Anglo-Saxon period encompass a remarkably diverse range of literature: heroic epics and lyric laments; riddles, recipes, and magic spells; matter-of-fact accounts of monsters and miracles; and histories that set new standards for scholarship. This course surveys Anglo-Saxon literature in modern translation, encompassing texts originally written in both Old English and Latin, and prose as well as verse. At the heart of",0
ENGLISH 107,The English Bible As Literature,4 Units,,"Terms offered: Spring 2018, Fall 1996, Fall 1995<br/>
Introduction to the English Bible treated as a literary work.",0
ENGLISH 110,Medieval Literature,4 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 2014<br/>
Development of literary form and idiom throughout the Christian West from the first to the fifteenth century.",0
ENGLISH 111,Chaucer,4 Units,,"Terms offered: Spring 2017, Spring 2014, Spring 2010<br/>
Lectures on and discussion of Chaucer's major works.",0
ENGLISH 112,Middle English Literature,4 Units,,"Terms offered: Spring 2018, Spring 2015, Spring 2009<br/>
Middle English literature exclusive of Chaucer studied in the original language.",0
ENGLISH 114A,English Drama,4 Units,,"Terms offered: Spring 2017, Spring 2015, Spring 2014<br/>
English drama to 1603.",0
ENGLISH 115A,The English Renaissance,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2014<br/>
Beginnings of the English Renaissance and literature of the 16th century.",0
ENGLISH 117B,Shakespeare,4 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 2015<br/>
A chronological survey of Shakespeare's career.",0
ENGLISH N117S,Shakespeare,3 Units,,"Terms offered: Summer 2017 First 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 First 6 Week Session<br/>
Lectures on Shakespeare and reading of his best works.",0
ENGLISH 117S,Shakespeare,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Fall 2017<br/>
Lectures on Shakespeare and reading of his best works.",0
ENGLISH 117T,Shakespeare in the Theatre,4 Units, Offered in conjunction with or as a sequel to 117S or 117A-117B,"Terms offered: Fall 2016, Fall 2007, Spring 2006<br/>
The interrelation of Elizabethan plays and stage practices. Classroom exercises, written assignments, and a final examination. The course will usually culminate in the performance of a play.",0
ENGLISH 118,Milton,4 Units,,"Terms offered: Spring 2018, Spring 2017, Fall 2015<br/>
Lectures on and discussion of Milton's major works.",0
ENGLISH 119,Literature of the Restoration and Early Eighteenth Century,4 Units,,"Terms offered: Spring 2017, Fall 2014, Spring 2013<br/>
Lectures on and discussion of Dryden, Swift, Pope, and some of their contemporaries.",0
ENGLISH 120,Literature of the Later 18th Century,4 Units,,"Terms offered: Fall 2017, Spring 2015, Spring 2014<br/>
Lectures on and discussion of later eighteenth-century British literature.",0
ENGLISH 121,Romantic Period,4 Units,,"Terms offered: Fall 2016, Spring 2015, Spring 2014<br/>
Blake, Wordsworth, Coleridge, Byron, Shelley, Keats, and contemporaries.",0
ENGLISH 122,Victorian Period,4 Units,,"Terms offered: Fall 2017, Spring 2016, Spring 2015<br/>
Literature of the Victorian period with an emphasis on poetry and nonfiction prose.",0
ENGLISH 125A,The English Novel,4 Units,,"Terms offered: Spring 2018, Spring 2015, Spring 2013<br/>
Defoe through Scott.",0
ENGLISH 125B,The English Novel,4 Units,,"Terms offered: Spring 2018, Fall 2015, Spring 2013<br/>
Dickens through Conrad.",0
ENGLISH 125C,The European Novel,4 Units,,"Terms offered: Spring 2017, Fall 2015, Spring 2012<br/>
Lectures on and discussion of major European novels.",0
ENGLISH 125D,The 20th-Century Novel,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Fall 2017, Fall 2016<br/>
Lectures on and discussion of major novels of the twentieth century.",0
ENGLISH 125E,The Contemporary Novel,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Important contemporary novels, some of which may be read in translation.",0
ENGLISH N125D,The 20th-Century Novel,3 Units,,"Terms offered: Summer 2017 First 6 Week Session, Summer 2016 First 6 Week Session, Summer 2015 First 6 Week Session<br/>
Lectures on and discussion of major novels of the twentieth century.",0
ENGLISH 126,British Literature: 1900-1945,4 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 2016<br/>
Lectures on and discussion of British literature written between 1900 and 1945.",0
ENGLISH 128,Modern Drama,4 Units,,"Terms offered: Spring 2016, Fall 2001, Fall 1999<br/>
British and American drama: 1860 to the present.",0
ENGLISH 130A,American Literature: Before 1800,4 Units,,"Terms offered: Spring 2018, Spring 2017, Fall 2014<br/>
Lectures on and discussion of the major writers of the early American period.",0
ENGLISH 130B,American Literature: 1800-1865,4 Units,,"Terms offered: Fall 2017, Spring 2016, Fall 2015<br/>
Lectures on and discussion of the major texts of the American Renaissance.",0
ENGLISH 130C,American Literature: 1865-1900,4 Units,,"Terms offered: Fall 2017, Fall 2015, Fall 2012<br/>
Lectures on and discussion of American literature from the Civil War through 1900.",0
ENGLISH 130D,American Literature: 1900-1945,4 Units,,"Terms offered: Fall 2017, Spring 2015, Spring 2014<br/>
A survey of modern American literature.",0
ENGLISH 131,American Poetry,4 Units,,"Terms offered: Spring 2018, Fall 2016, Fall 2015<br/>
A historical survey of American poetry and its backgrounds.",0
ENGLISH 132,American Novel,4 Units,,"Terms offered: Spring 2017, Spring 2016, Fall 2013<br/>
A survey of major American novels.",0
ENGLISH 133A,African American Literature and Culture Before 1917,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2014<br/>
Major literary and cultural texts in the African American tradition from origins through World War I.",0
ENGLISH 133B,African American Literature and Culture Since 1917,4 Units,,"Terms offered: Spring 2016, Fall 2014, Spring 2012<br/>
Major literary and cultural texts in the African American tradition from the Harlem Renaissance through the twentieth century.",0
ENGLISH 133T,Topics in African American Literature and Culture,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2015<br/>
Topics vary from semester to semester. Students should consult the department's ""Announcement of Classes"" for offerings well before the beginning of the semester.",0
ENGLISH 134,Contemporary Literature,4 Units,,"Terms offered: Spring 2018, Fall 2016, Spring 2012<br/>
Lectures on and discussion of selected works written since the Second World War.",0
ENGLISH 135AC,Literature of American Cultures,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Fall 2014, Spring 2013<br/>
Study of the ethnic diversity of American literature. The course will take substantial account of the literature of three or more of the following groups: African Americans, Native Americans, Asian Americans, Chicanos/Latinos, and European Americans. Topics vary from semester to semester. Students should consult the department's ""Announcement of Classes"" well before the beginning of the semester for details.",0
ENGLISH C136,Topics in American Studies,4 Units,,"Terms offered: Fall 2017, Spring 2017, Spring 2016<br/>
A course on the intellectual, cultural, historical, and social backgrounds to American literature. Topics will vary from semester to semester. Students should consult the department's ""Announcement of Classes"" for current offerings well before the start of the semester.",0
ENGLISH 137B,Chicana/o Literature and Culture Since 1910,4 Units,,"Terms offered: Spring 2018, Spring 2017, Fall 2015<br/>
Major literary and cultural texts in the Chicana/o tradition from 1910 through the contemporary Chicana/o period.",0
ENGLISH 137T,Topics in Chicana/o Literature and Culture,4 Units,,"Terms offered: Fall 2017, Spring 2016, Fall 2013<br/>
Topics in Chicana/o literature and culture.",0
ENGLISH 138,Studies in World Literature in English,4 Units,,"Terms offered: Spring 2018, Fall 2016, Spring 2016<br/>
An examination of various aspects of the modern literature written in English in Africa, the Caribbean, India, and Southeast Asia. Topics will vary from semester to semester. Students should consult the department's ""Announcement of Classes"" for current offerings well before the start of the semester.",0
ENGLISH 139,The Cultures of English,4 Units,,"Terms offered: Spring 2017, Fall 2015, Fall 2012<br/>
Literatures of various regions in which English is one of the spoken languages, such as Canada, the Caribbean, Australia, Africa, India; and the writings of specific groups or distinctive cultures in the English-speaking world, including the U.S. and the British Isles. Topics vary from semester to semester. Students should consult the department's ""Announcement of Classes"" for current offerings well before the start of the semester",0
ENGLISH 141,"Modes of Writing (Exposition, Fiction, Verse, Etc.)",4 Units, R1A-R1B or equivalent,"Terms offered: Summer 2018 8 Week Session, Fall 2017, Spring 2017<br/>
Writing in connection with reading in recent English literature and its continental background.",0
ENGLISH N141,"Modes of Writing (Exposition, Fiction, Verse, Etc.)",3 Units, R1A-R1B or equivalent,"Terms offered: Summer 2016 10 Week Session, Summer 2016 Second 6 Week Session, Summer 2013 Second 6 Week Session<br/>
Writing in connection with reading in recent English literature and its continental background.",0
ENGLISH 143A,Short Fiction,4 Units, Consent of instructor,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
A seminar in writing short stories.",0
ENGLISH 143B,Verse,4 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
A seminar in writing poetry.",0
ENGLISH 143C,Long Narrative,4 Units, Consent of instructor,"Terms offered: Spring 2017, Fall 2015, Spring 2012<br/>
Students will work through the semester on a single project, either fiction (novel) or nonfiction (biography, history).",0
ENGLISH 143N,Prose Nonfiction,4 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
A seminar in the writing of prose nonfiction as an art.",0
ENGLISH 143T,Poetry Translation Workshop,4 Units," Consent of instructor, willingness to translate, working knowledge of at least one foreign language","Terms offered: Fall 2017, Fall 2013, Spring 2013<br/>
Open to those who wish to assimilate foreign influences for writing poetry or to seek a fuller understanding of any foreign poetry by rendering it into English.",0
ENGLISH 152,Women Writers,4 Units,,"Terms offered: Spring 2018, Fall 2013, Spring 2011<br/>
Topics will vary from semester to semester.",0
ENGLISH 160,Methods and Materials of Literary Criticism,4 Units,,"Terms offered: Spring 2018, Fall 2008, Spring 2008<br/>
An introduction to issues in literary criticism with emphasis on application of principles and methods to selected literary texts.",0
ENGLISH 161,Introduction to Literary Theory,4 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 2016<br/>
This class will focus on literary theory.",0
ENGLISH 165,Special Topics,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Designed primarily for English majors. Topics vary from semester to semester. Students should consult the department's ""Announcement of Classes"" for offerings well before the beginning of the semester.",0
ENGLISH 166,Special Topics,4 Units,,"Terms offered: Summer 2018 8 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
Topics vary from semester to semester. Students should consult the department's ""Announcement of Classes"" for offerings well before the beginning of the semester.",0
ENGLISH 166AC,Special Topics in American Cultures,4 Units,,"Terms offered: Fall 2017, Spring 2017, Spring 2014<br/>
Study of a special topic related to the diversity of the United States. Topics vary from semester to semester. Student's should consult the department's ""Announcement of Classes"" for offerings well before the beginning of the semester.",0
ENGLISH N166,Special Topics,3 Units,,"Terms offered: Summer 2017 First 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 8 Week Session<br/>
Topics vary from summer to summer.",0
ENGLISH 170,Literature and the Arts,4 Units,,"Terms offered: Spring 2018, Fall 2017, Fall 2016<br/>
Studies in the relationship of literature in English to the arts.",0
ENGLISH 171,Literature and Sexual Identity,4 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Sexual identity in literature in relation to thematics, literary convention, psychology, and the particular politics and sociology of individual cultures. The course may range broadly over Western literature or concentrate on one historical period.",0
ENGLISH 172,Literature and Psychology,4 Units,,"Terms offered: Spring 2016, Spring 2003, Spring 2000<br/>
Studies in the relationship of literature in English to psychology.",0
ENGLISH 173,The Language and Literature of Films,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Fall 2017<br/>
Studies in film as a mode of representing reality; cinematic techniques and the ""language"" of film. Lectures, class discussions, and film viewings.",0
ENGLISH N173,The Language and Literature of Films,3 Units,,"Terms offered: Summer 2017 8 Week Session, Summer 2016 8 Week Session, Summer 2015 8 Week Session<br/>
Studies in film as a mode of representing reality; cinematic techniques and the language of film. Lectures, class discussions, and film viewings.",0
ENGLISH 174,Literature and History,4 Units,,"Terms offered: Spring 2018, Fall 2016, Spring 2015<br/>
Topics will vary from semester to semester.",0
ENGLISH 175,Literature and Disability,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Studies of the relationships among literature, culture, and ""disability."" The course may range broadly or concentrate on one historical period, genre, or issue.",0
ENGLISH 176,Literature and Popular Culture,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Spring 2012, Fall 2005<br/>
Topics will vary from semester to semester.",0
ENGLISH 177,Literature and Philosophy,4 Units,,"Terms offered: Spring 2018, Spring 2016, Spring 2004<br/>
Studies in the relationship of literature in English to philosophy.",0
ENGLISH 179,Literature and Linguistics,4 Units,,"Terms offered: Fall 2017, Spring 2015, Fall 2012<br/>
Study of the English language as a medium for literature. Topics may include rhyme, alliteration, meter, poetic syntax, metaphor, irony, the language of point of view, narrative tense, orality, literacy, etc.",0
ENGLISH 180A,Autobiography,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Lectures on and discussion of autobiographical forms.",0
ENGLISH 180E,The Epic,4 Units,,"Terms offered: Spring 2016, Spring 2012, Fall 2009<br/>
Reading and discussion of epics, considering their cultural and historical contexts, the nature of their composition, and the development of the form.",0
ENGLISH 180H,Short Story,4 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 2015<br/>
Lectures on and discussion of the form of the short story.",0
ENGLISH 180L,Lyric Verse,4 Units,,"Terms offered: Fall 2017, Spring 2017, Fall 2015<br/>
Study of lyric forms and techniques.",0
ENGLISH 180N,The Novel,4 Units,,"Terms offered: Fall 2017, Spring 2016, Spring 2015<br/>
Study of the novel as a literary genre, its formal development and variations, its technical possibilities, its cultural functions. Topics may vary from semester to semester.",0
ENGLISH N180Z,Science Fiction,3 Units,,"Terms offered: Summer 2017 First 6 Week Session, Summer 2016 10 Week Session, Summer 2016 First 6 Week Session<br/>
A survey of science fiction which includes both short stories and novels. The focus will be on the analysis of the texts and on the history and theory of the genre.",0
ENGLISH 180R,The Romance,4 Units,,"Terms offered: Spring 2018, Fall 2015, Spring 2013<br/>
Study of the romance as a literary genre. Topics may vary from semester to semester; focus may be historical or restricted to a particular period (e.g., medieval, modern).",0
ENGLISH 180Z,Science Fiction,4 Units,,"Terms offered: Spring 2017, Spring 2015, Spring 2012<br/>
Study of speculative fiction (or science fiction) as a genre. Topics may vary from semester to semester. Focus may be historical or thematic.",0
ENGLISH C181,"Digital Humanities, Visual Cultures",4 Units,,"Terms offered: Spring 2017<br/>
“Digital humanities” describes how digital formats and tools can be used to produce knowledge about cultural materials. This course introduces students to techniques used to study visual culture and related disciplines, possibly including mapping, network analysis, digital (re)construction of objects and environments; digital editions of texts or online exhibitions; digital manipulation of images; and content-management systems and structured data. The class also",0
ENGLISH 190,Research Seminar,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Research-oriented and designed for upper-division English majors. Intensive examination of critical approaches, literary theory, or a special topic in literary and cultural studies. Topics vary from semester to semester. Students should consult the department's ""Announcement of Classes"" for offerings well before the beginning of the semester.",0
ENGLISH H195A,Honors Course,4 Units," Open only to senior English major honors candidates (i.e., students with an overall GPA of 3.51 or higher and a GPA of 3.65 or higher in courses taken at Berkeley in the major). Consent of instructor is required","Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This is a two-semester course, graded IP at the end of the first semester. During the second semester, each student will write an honors thesis. Completion of the thesis is required for a passing grade in the course.",0
ENGLISH H195B,Honors Course,4 Units," Open only to senior English major honors candidates (i.e., students with an overall GPA of 3.51 or higher and a GPA of 3.65 or higher in courses taken at Berkeley in the major). Consent of instructor is required","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This is a two-semester course, graded IP at the end of the first semester. During the second semester, each student will write an honors thesis. Completion of the thesis is required for a passing grade in the course.",0
ENGLISH 198,Directed Group Study,1 - 4 Units, Open to students who have completed 12 units of upper division English with an average of not less than B,"Terms offered: Spring 2018, Spring 2016, Fall 2015<br/>
Enrollment is restricted by university regulations. Group study in a field that shall not coincide with that of any regular course and shall be specific enough to enable students to write essays based upon their studies.",0
ENGLISH 198BC,Berkeley Connect,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department",0
ENGLISH 199,Supervised Independent Study for Advanced Undergraduates,1 - 4 Units, Open to students who have completed 12 units of upper division English with an average grade of not less than B,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Meetings to be arranged. Enrollment is restricted by university regulations. Reading and conference with the instructor in a field that shall not coincide with that of any regular course and shall be specific enough to enable students to write essays based upon their studies.",0
ENGLISH 200,Problems in the Study of Literature,4 Units, Open only to students in the English Ph.D. program,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Approaches to literary study, including textual analysis, scholarly methodology and bibliography, critical theory and practice.",0
ENGLISH 203,Graduate Readings,4 Units," Open to advanced undergraduates, with the consent of the instructor","Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Graduate lecture courses surveying broad areas and periods of literary history, and directing students in wide reading. Offerings vary from semester to semester. Students should consult the department's ""Announcement of Classes"" for offerings well before the beginning of the semester.",0
ENGLISH 205B,Old English,4 Units, Open to undergraduates with the consent of the instructor,"Terms offered: Spring 2017, Spring 2016, Spring 2014<br/>",0
ENGLISH 211,Chaucer,4 Units,,"Terms offered: Spring 2017, Fall 2014, Spring 2012<br/>
Discussion of Chaucer's major works.",0
ENGLISH 212,Readings in Middle English,4 Units,,"Terms offered: Fall 2016, Spring 2012, Fall 2008<br/>
Rapid reading of selections in Middle English, from the twelfth century through the fifteenth.",0
ENGLISH 217,Shakespeare,4 Units,,"Terms offered: Fall 2016, Fall 2014, Spring 2013<br/>
Discussion of selected works of Shakespeare.",0
ENGLISH 243A,Fiction Writing Workshop,4 Units," Consent of instructor, normally based on prior writings submitted","Terms offered: Spring 2017, Spring 2015, Fall 2012<br/>
A writing workshop in fiction for graduate students.",0
ENGLISH 243B,Poetry Writing Workshop,4 Units," Consent of instructor, normally based on prior writings submitted","Terms offered: Fall 2017, Fall 2016, Spring 2016<br/>
A writing workshop in poetry for graduate students.",0
ENGLISH 243N,Prose Nonfiction Writing Workshop,4 Units," Consent of instructor, normally based on prior writings submitted","Terms offered: Spring 2017, Fall 2014, Spring 2012<br/>
A writing workshop in prose nonfiction for graduate students.",0
ENGLISH 246C,"Graduate Proseminars: Renaissance: Sixteenth century (excluding, or at least not prominently featuring, Skakespeare)",4 Units,,"Terms offered: Spring 2017, Fall 2014, Spring 2009<br/>
Proseminars in the major chronological fields of English and American literature providing graduate instruction in scholarly and critical approaches appropriate to each field.",0
ENGLISH 246D,Graduate Proseminars: Renaissance: Seventeenth century through Milton,4 Units,,"Terms offered: Fall 2017, Spring 2015, Fall 2007<br/>
Proseminars in the major chronological fields of English and American literature providing graduate instruction in scholarly and critical approaches appropriate to each field.",0
ENGLISH 246F,Graduate Proseminars: Later 18th century,4 Units,,"Terms offered: Spring 2016, Fall 2013, Fall 2011<br/>
Proseminars in the major chronological fields of English and American literature providing graduate instruction in scholarly and critical approaches appropriate to each field.",0
ENGLISH 246G,Graduate Proseminars: Romantic,4 Units,,"Terms offered: Fall 2017, Spring 2015, Spring 2011<br/>
Proseminars in the major chronological fields of English and American literature providing graduate instruction in scholarly and critical approaches appropriate to each field.",0
ENGLISH 246H,Graduate Proseminars: Victorian,4 Units,,"Terms offered: Spring 2017, Fall 2007, Spring 2006<br/>
Proseminars in the major chronological fields of English and American literature providing graduate instruction in scholarly and critical approaches appropriate to each field.",0
ENGLISH 250,Research Seminars,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Required of all Ph.D. students. Advanced study in various fields, leading to a substantial piece of writing. Offerings vary from semester to semester. Students should consult the department's ""Announcement of Classes"" for offerings well before the beginning of the semester.",0
ENGLISH 298,Special Studies,1 - 4 Units,,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Directed research. Open to qualified graduate students wishing to pursue special topics. If taken to satisfy degree requirements, must be taken for four units and a letter grade.",0
ENGLISH 299,Special Study,1 - 12 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2016<br/>
Normally reserved for students directly engaged upon the doctoral dissertation.",0
ENGLISH 310,Field Studies in Tutoring Writing,1 - 3 Units, Pre-enrollment interviews required,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Tutoring Berkeley undergraduates in College Writing R1A, R1A, R1B, and other writing and/or literature courses. Seminar topics: the writing process, responding to writing, composition theory, grammar, collaborative learning, tutoring methods. Tutors keep a weekly journal, read assigned articles, videotape their tutoring, and write a final paper. This course cannot be used toward fulfillment of the major requirements.",0
ENGLISH 375,The Teaching of Composition and Literature,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Discussion of course aims, instructional methods, grading standards, and special problems in the teaching of composition and literature, with practice in handling sample essays. When given for graduate student instructors in the English R1A-R1B Program or the English 45 series, the course will include class visitation.",0
ENGLISH 602,Individual Study for Doctoral Students,1 - 12 Units, Graduate standing,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Individual study in consultation with the major field adviser, intended to provide an opportunity for qualified students to prepare themselves for the various examinations required of candidates for the Ph.D. May not be used for unit or residence requirements for the doctoral degree.",0
